營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電台南區營業處#H16289#管線遷移工程#2017/10/04 14:00~15:00#無#南市安定區六嘉里#1911#
台電台南區營業處#H16289#管線遷移工程#2017/10/04 14:00~15:00#無#南市安定區#1911#
台電台南區營業處#H16290#管線遷移工程#2017/10/04 14:30~16:00#無#南市安定區南二高#1911#
台電台南區營業處#H16290#管線遷移工程#2017/10/04 14:30~16:00#無#南市安定區六嘉里六塊寮#1911#
台電台南區營業處#H16290#管線遷移工程#2017/10/04 14:30~16:00#無#南市安定區六嘉里#1911#
台電台南區營業處#H16290#管線遷移工程#2017/10/04 14:30~16:00#無#南市安定區六塊寮段#1911#
台電台南區營業處#H16290#管線遷移工程#2017/10/04 14:30~16:00#無#南市安定區１７８線#1911#
台電台南區營業處#H16291#管線遷移工程#2017/10/04 15:00~17:00#無#南市安定區六塊寮段#1911#
台電台南區營業處#H16291#管線遷移工程#2017/10/04 15:00~17:00#無#南市安定區安加里#1911#
台電台南區營業處#H16291#管線遷移工程#2017/10/04 15:00~17:00#無#南市安定區中沙里#1911#
台電台南區營業處#H36382#管線遷移工程#2017/10/05 08:30~16:30#無#南市北區公園南路#1911#
台電台南區營業處#H36382#管線遷移工程#2017/10/05 08:30~16:30#無#南市北區北華街#1911#
台電台南區營業處#H36383#管線遷移工程#2017/10/05 08:30~12:00#無#南市安南區城西里#1911#
台電台南區營業處#H36383#管線遷移工程#2017/10/05 08:30~12:00#無#南市安南區城南里#1911#
台電台南區營業處#H36387#管線遷移工程#2017/10/05 08:30~16:30#無#南市安平區建平七街#1911#
台電台南區營業處#L31056#管線遷移工程#2017/10/05 08:30~12:30#無#南市安平區金華段#1911#
台電台南區營業處#H36387#管線遷移工程#2017/10/05 08:30~16:30#無#南市安平區華平路#1911#
台電台南區營業處#L31056#管線遷移工程#2017/10/05 08:30~12:30#無#南市安平區永華路二段#1911#
台電台南區營業處#L31037#管線遷移工程#2017/10/05 13:30~17:00#無#南市安南區城西街三段#1911#
台電台南區營業處#L31037#管線遷移工程#2017/10/05 13:30~17:00#無#南市安南區城西段#1911#
台電台南區營業處#L31037#管線遷移工程#2017/10/05 13:30~17:00#無#南市安南區安清路#1911#
