營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電台北西區營業處#L20842#管線遷移工程#2017/10/14 13:00~17:00#無#新北三峽區隆恩街#1911#
台電台北西區營業處#H99439#高壓線路改善#2017/10/14 22:30~23:30#無#新北三峽區介壽路一段#1911#
台電台北西區營業處#H99439#高壓線路改善#2017/10/14 22:30~23:30#無#新北三峽區介壽路二段#1911#
台電台北西區營業處#H99439#高壓線路改善#2017/10/14 22:30~23:30#無#新北三峽區溪東路#1911#
台電台北西區營業處#H99439#高壓線路改善#2017/10/14 22:30~23:30#無#新北三峽區#1911#
台電台北西區營業處#H29372#管線遷移工程#2017/10/16 08:30~17:00#無#新北三峽區安坑#1911#
台電台北西區營業處#H29372#管線遷移工程#2017/10/16 08:30~17:00#無#新北三峽區#1911#
台電台北西區營業處#H29372#管線遷移工程#2017/10/16 08:30~17:00#無#新北三峽區安坑里#1911#
台電台北西區營業處#H19352#高壓線路改善#2017/10/17 00:00~06:00#無#新北五股區五工六路#1911#
台電台北西區營業處#H19352#高壓線路改善#2017/10/17 00:00~06:00#無#新北五股區五權六路#1911#
台電台北西區營業處#H19352#高壓線路改善#2017/10/17 00:00~06:00#無#新北五股區五權路#1911#
台電台北西區營業處#H19352#高壓線路改善#2017/10/17 00:00~06:00#無#新北新莊區五工六路#1911#
台電台北西區營業處#H19373#高壓線路改善#2017/10/17 00:00~06:00#無#新北新莊區五權二路#1911#
台電台北西區營業處#H19373#高壓線路改善#2017/10/17 00:00~06:00#無#新北五股區五權二路#1911#
台電台北西區營業處#H19373#高壓線路改善#2017/10/17 00:00~06:00#無#新北五股區五權六路#1911#
台電台北西區營業處#H19373#高壓線路改善#2017/10/17 00:00~06:00#無#新北新莊區五工路#1911#
台電台北西區營業處#H19373#高壓線路改善#2017/10/17 00:00~06:00#無#新北五股區五工路#1911#
台電台北西區營業處#H29316#高壓線路改善#2017/10/18 00:00~06:00#無#新北三峽區三樹路#1911#
台電台北西區營業處#H19361#高壓線路改善#2017/10/19 00:00~03:00#無#新北五股區五工六路#1911#
台電台北西區營業處#H19361#高壓線路改善#2017/10/19 00:00~03:00#無#新北五股區五工一路#1911#
台電台北西區營業處#H19361#高壓線路改善#2017/10/19 00:00~03:00#無#新北五股區五權八路#1911#
台電台北西區營業處#H19361#高壓線路改善#2017/10/19 00:00~03:00#無#新北五股區五權七路#1911#
台電台北西區營業處#H19362#高壓線路改善#2017/10/19 02:00~06:00#無#新北五股區五工路#1911#
台電台北西區營業處#H19362#高壓線路改善#2017/10/19 02:00~06:00#無#新北五股區五權七路#1911#
台電台北西區營業處#H19362#高壓線路改善#2017/10/19 02:00~06:00#無#新北五股區五權二路#1911#
台電台北西區營業處#H19362#高壓線路改善#2017/10/19 02:00~06:00#無#新北五股區五權三路#1911#
台電台北西區營業處#H19362#高壓線路改善#2017/10/19 02:00~06:00#無#新北五股區五工六路#1911#
台電台北西區營業處#H19362#高壓線路改善#2017/10/19 02:00~06:00#無#新北五股區五權五路#1911#
台電台北西區營業處#H19362#高壓線路改善#2017/10/19 02:00~06:00#無#新北五股區五權六路#1911#
台電台北西區營業處#H19362#高壓線路改善#2017/10/19 02:00~06:00#無#新北五股區五權路#1911#
台電台北西區營業處#H19362#高壓線路改善#2017/10/19 02:00~06:00#無#新北五股區五工三路#1911#
台電台北西區營業處#H29318#管線遷移工程#2017/10/19 09:00~17:00#無#新北三峽區插角#1911#
台電台北西區營業處#H29318#管線遷移工程#2017/10/19 09:00~17:00#無#新北三峽區插角里#1911#
台電台北西區營業處#H99435#高壓線路改善#2017/10/19 22:30~23:30#無#新北三峽區三樹路#1911#
台電台北西區營業處#H99435#高壓線路改善#2017/10/19 22:30~23:30#無##1911#
台電台北西區營業處#H39393#管線遷移工程#2017/10/21 09:00~17:00#無#新北林口區下福路#1911#
台電台北西區營業處#H39393#管線遷移工程#2017/10/21 09:00~17:00#無#新北林口區下福里#1911#
