營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電台中區營業處#H36034#管線遷移工程#2017/10/06 09:00~09:15#2017/10/06 14:45~15:00#中市烏日區建國路#1911#
台電台中區營業處#H36034#管線遷移工程#2017/10/06 09:00~09:15#2017/10/06 14:45~15:00#中市烏日區建國北路#1911#
台電台中區營業處#H36034#管線遷移工程#2017/10/06 09:00~09:15#2017/10/06 14:45~15:00#中市烏日區中山路一段#1911#
台電台中區營業處#H36034#管線遷移工程#2017/10/06 09:00~09:15#2017/10/06 14:45~15:00#中市烏日區九如段#1911#
台電台中區營業處#H36034#管線遷移工程#2017/10/06 09:00~09:15#2017/10/06 14:45~15:00#中市南區建國北路一段#1911#
台電台中區營業處#H36034#管線遷移工程#2017/10/06 09:00~09:15#2017/10/06 14:45~15:00#中市南區正德三巷#1911#
台電台中區營業處#H36034#管線遷移工程#2017/10/06 09:00~09:15#2017/10/06 14:45~15:00#中市南區大慶街二段#1911#
台電台中區營業處#H36034#管線遷移工程#2017/10/06 09:00~09:15#2017/10/06 14:45~15:00#中市南屯區楓興段#1911#
台電台中區營業處#L12899#管線遷移工程#2017/10/06 09:00~10:00#無#中市西屯區西安街#1911#
台電台中區營業處#L93327#管線遷移工程#2017/10/06 09:00~15:00#無#中市梧棲區中華路二段#1911#
台電台中區營業處#L93327#管線遷移工程#2017/10/06 09:00~15:00#無#中市清水區南華路#1911#
台電台中區營業處#L12896#管線遷移工程#2017/10/06 09:30~10:40#無#中市大肚區王福街#1911#
台電台中區營業處#L12896#管線遷移工程#2017/10/06 09:30~10:40#無#中市大肚區沙田路一段#1911#
台電台中區營業處#L12900#管線遷移工程#2017/10/06 10:00~11:00#無#中市西屯區西安街#1911#
台電台中區營業處#L12895#管線遷移工程#2017/10/06 10:40~11:30#無#中市大肚區王福街#1911#
台電台中區營業處#L12895#管線遷移工程#2017/10/06 10:40~11:30#無#中市大肚區沙田路一段#1911#
台電台中區營業處#L12895#管線遷移工程#2017/10/06 10:40~11:30#無#中市烏日區振興街#1911#
台電台中區營業處#L12895#管線遷移工程#2017/10/06 10:40~11:30#無#中市烏日區段下小段#1911#
台電台中區營業處#L33275#管線遷移工程#2017/10/06 13:00~17:00#無#中市南屯區向心路#1911#
台電台中區營業處#L33275#管線遷移工程#2017/10/06 13:00~17:00#無#中市南屯區大英西一街#1911#
台電台中區營業處#L33275#管線遷移工程#2017/10/06 13:00~17:00#無#中市南屯區大墩七街#1911#
台電台中區營業處#L12903#管線遷移工程#2017/10/06 13:00~14:00#無#中市西屯區西安街#1911#
台電台中區營業處#L12894#管線遷移工程#2017/10/06 13:30~14:20#無#中市大肚區王福街#1911#
台電台中區營業處#L12894#管線遷移工程#2017/10/06 13:30~14:20#無#中市大肚區沙田路一段#1911#
台電台中區營業處#H16018#管線遷移工程#2017/10/06 13:30~17:30#無#中市西區美村路一段#1911#
