營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電宜蘭區營業處#H26875#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣三星鄉行健一路#1911#
台電宜蘭區營業處#H26875#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣三星鄉行健二路一段#1911#
台電宜蘭區營業處#H26875#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣三星鄉行健三路一段#1911#
台電宜蘭區營業處#H26875#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣三星鄉行健五路#1911#
台電宜蘭區營業處#H26875#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣三星鄉行健村#1911#
台電宜蘭區營業處#H26875#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣三星鄉尚健三路一段#1911#
台電宜蘭區營業處#H26875#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣三星鄉尚健五路一段#1911#
台電宜蘭區營業處#H26875#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣三星鄉培英路#1911#
台電宜蘭區營業處#L18716#管線遷移工程#2017/10/11 13:30~14:00#無#宜縣員山鄉枕山路#1911#
台電宜蘭區營業處#L18716#管線遷移工程#2017/10/11 13:30~14:00#無#宜縣員山鄉坡城路#1911#
台電宜蘭區營業處#L18716#管線遷移工程#2017/10/11 13:30~14:00#無#宜縣員山鄉枕山村#1911#
台電宜蘭區營業處#H16916#管線遷移工程#2017/10/11 14:10~15:10#無#宜縣員山鄉坡城路#1911#
台電宜蘭區營業處#H16916#管線遷移工程#2017/10/11 14:10~15:10#無#宜縣員山鄉枕山村#1911#
台電宜蘭區營業處#H16917#管線遷移工程#2017/10/11 15:30~16:10#無#宜縣員山鄉永廣路#1911#
台電宜蘭區營業處#H16917#管線遷移工程#2017/10/11 15:30~16:10#無#宜縣員山鄉同樂村#1911#
台電宜蘭區營業處#H16917#管線遷移工程#2017/10/11 15:30~16:10#無#宜縣員山鄉枕山路#1911#
台電宜蘭區營業處#H16917#管線遷移工程#2017/10/11 15:30~16:10#無#宜縣員山鄉頭分村#1911#
台電宜蘭區營業處#H16917#管線遷移工程#2017/10/11 15:30~16:10#無#宜縣員山鄉頭分路#1911#
台電宜蘭區營業處#H16917#管線遷移工程#2017/10/11 15:30~16:10#無#宜縣員山鄉頭份路#1911#
台電宜蘭區營業處#H16917#管線遷移工程#2017/10/11 15:30~16:10#無#宜縣員山鄉永和村#1911#
台電宜蘭區營業處#H16917#管線遷移工程#2017/10/11 15:30~16:10#無#宜縣員山鄉永同路二段#1911#
台電宜蘭區營業處#H16917#管線遷移工程#2017/10/11 15:30~16:10#無#宜縣員山鄉枕山村#1911#
台電宜蘭區營業處#L18717#管線遷移工程#2017/10/11 16:20~16:50#無#宜縣員山鄉山前路#1911#
台電宜蘭區營業處#H16918#管線遷移工程#2017/10/11 16:50~17:30#無#宜縣員山鄉新城路#1911#
台電宜蘭區營業處#H16918#管線遷移工程#2017/10/11 16:50~17:30#無#宜縣員山鄉枕山村#1911#
台電宜蘭區營業處#H16918#管線遷移工程#2017/10/11 16:50~17:30#無#宜縣員山鄉山前路#1911#
台電宜蘭區營業處#H16918#管線遷移工程#2017/10/11 16:50~17:30#無#宜縣員山鄉同樂村#1911#
台電宜蘭區營業處#L38667#管線遷移工程#2017/10/12 08:30~12:00#無#宜縣宜蘭市新興路#1911#
台電宜蘭區營業處#L38667#管線遷移工程#2017/10/12 08:30~12:00#無#宜縣宜蘭市力行路#1911#
台電宜蘭區營業處#L18723#管線遷移工程#2017/10/12 09:00~11:00#無#宜縣五結鄉福德路#1911#
台電宜蘭區營業處#L18723#管線遷移工程#2017/10/12 09:00~11:00#無#宜縣羅東鎮復興街#1911#
台電宜蘭區營業處#L18723#管線遷移工程#2017/10/12 09:00~11:00#無#宜縣羅東鎮復興路#1911#
台電宜蘭區營業處#L18723#管線遷移工程#2017/10/12 09:00~11:00#無#宜縣羅東鎮復興路三段#1911#
台電宜蘭區營業處#L18725#管線遷移工程#2017/10/12 09:30~10:20#無#宜縣大同鄉南山村旭普#1911#
台電宜蘭區營業處#L18725#管線遷移工程#2017/10/12 09:30~10:20#無#宜縣大同鄉南山段#1911#
台電宜蘭區營業處#L18725#管線遷移工程#2017/10/12 09:30~10:20#無#宜縣大同鄉泰雅路七段#1911#
台電宜蘭區營業處#L18725#管線遷移工程#2017/10/12 09:30~10:20#無#宜縣大同鄉南山村那億#1911#
台電宜蘭區營業處#H26868#管線遷移工程#2017/10/12 10:00~17:00#無#宜縣蘇澳鎮蘇花路五段#1911#
台電宜蘭區營業處#H26868#管線遷移工程#2017/10/12 10:00~17:00#無#宜縣蘇澳鎮湖東路#1911#
